id,todaysDate,settlementDate,optionType,underlying,strike,riskFreeRate,volatility,maturityDate
42,10/28/2022,10/30/2022,Call,11.5,12,0.129,0.24,11/22/2022
43,10/13/2022,10/15/2022,Put,92.5,86,0.023,0.13,12/17/2022
44,10/03/2022,10/05/2022,Call,16.0,16,0.066,0.21,01/06/2023
45,10/17/2022,10/19/2022,Call,95.3,96,0.060,0.20,01/12/2023
46,10/22/2022,10/24/2022,Put,46.9,61,0.014,0.37,01/03/2023
47,10/17/2022,10/19/2022,Put,3.4,3,0.064,0.22,01/23/2023
48,10/19/2022,10/21/2022,Put,89.8,86,0.045,0.22,12/19/2022
49,10/07/2022,10/09/2022,Put,5.2,5,0.056,0.35,12/26/2022
50,10/10/2022,10/12/2022,Put,60.0,69,0.142,0.33,01/01/2023
51,10/16/2022,10/18/2022,Put,30.0,20,0.035,0.33,12/27/2022
52,10/27/2022,10/29/2022,Call,64.0,77,0.003,0.22,11/30/2022
53,10/17/2022,10/19/2022,Put,44.6,43,0.069,0.12,12/10/2022
54,10/15/2022,10/17/2022,Call,79.9,92,0.106,0.34,11/17/2022
55,10/17/2022,10/19/2022,Call,72.5,88,0.132,0.27,01/18/2023
56,10/08/2022,10/10/2022,Call,79.2,92,0.112,0.39,11/29/2022
57,10/22/2022,10/24/2022,Put,90.9,80,0.147,0.23,11/20/2022
58,10/03/2022,10/05/2022,Put,14.1,14,0.120,0.36,12/12/2022
59,10/02/2022,10/04/2022,Call,92.2,85,0.039,0.28,12/21/2022
60,10/07/2022,10/09/2022,Call,55.8,65,0.053,0.40,10/29/2022
61,10/25/2022,10/27/2022,Call,66.8,54,0.103,0.31,11/28/2022
62,10/23/2022,10/25/2022,Call,53.1,67,0.059,0.11,12/01/2022
63,10/27/2022,10/29/2022,Call,28.6,16,0.057,0.37,11/26/2022
64,10/15/2022,10/17/2022,Put,21.7,20,0.039,0.32,11/18/2022
65,10/22/2022,10/24/2022,Call,21.6,30,0.139,0.32,11/08/2022
66,10/08/2022,10/10/2022,Call,35.7,38,0.079,0.11,11/21/2022
67,10/28/2022,10/30/2022,Call,11.3,11,0.090,0.12,12/15/2022
68,10/11/2022,10/13/2022,Put,55.1,59,0.049,0.32,10/20/2022
69,10/25/2022,10/27/2022,Put,46.1,53,0.124,0.27,11/15/2022
70,10/03/2022,10/05/2022,Call,15.5,16,0.054,0.35,12/24/2022
71,10/12/2022,10/14/2022,Call,34.9,26,0.036,0.31,12/07/2022
72,10/18/2022,10/20/2022,Call,88.8,103,0.118,0.37,11/02/2022
73,10/19/2022,10/21/2022,Put,34.3,39,0.136,0.21,01/01/2023
74,10/21/2022,10/23/2022,Put,1.9,2,0.009,0.35,11/03/2022
75,10/18/2022,10/20/2022,Call,71.3,65,0.125,0.14,01/06/2023
76,10/26/2022,10/28/2022,Call,94.0,91,0.081,0.13,01/05/2023
77,10/08/2022,10/10/2022,Call,53.8,57,0.083,0.17,12/08/2022
78,10/01/2022,10/03/2022,Call,58.6,51,0.097,0.29,12/05/2022
79,10/26/2022,10/28/2022,Call,50.8,45,0.058,0.35,11/02/2022
80,10/05/2022,10/07/2022,Call,18.1,18,0.061,0.20,12/20/2022
81,10/16/2022,10/18/2022,Put,58.0,47,0.119,0.35,10/22/2022
82,10/06/2022,10/08/2022,Call,10.1,10,0.133,0.37,11/01/2022
83,10/07/2022,10/09/2022,Put,79.2,86,0.059,0.11,10/18/2022
84,10/21/2022,10/23/2022,Put,95.7,109,0.039,0.33,11/14/2022
85,10/10/2022,10/12/2022,Call,16.5,17,0.019,0.32,01/01/2023
86,10/13/2022,10/15/2022,Call,77.3,62,0.059,0.16,11/02/2022
87,10/17/2022,10/19/2022,Call,85.7,79,0.004,0.19,12/31/2022
88,10/02/2022,10/04/2022,Call,13.9,14,0.031,0.28,10/26/2022
89,10/28/2022,10/30/2022,Put,58.5,50,0.082,0.26,11/18/2022
90,10/26/2022,10/28/2022,Put,32.4,47,0.032,0.39,11/10/2022
91,10/19/2022,10/21/2022,Call,37.6,43,0.124,0.14,10/31/2022
92,10/15/2022,10/17/2022,Put,25.7,41,0.106,0.19,12/19/2022
93,10/24/2022,10/26/2022,Put,93.4,83,0.007,0.23,12/12/2022
94,10/11/2022,10/13/2022,Put,49.6,48,0.134,0.17,01/16/2023
95,10/10/2022,10/12/2022,Put,87.4,102,0.091,0.11,11/26/2022
96,10/13/2022,10/15/2022,Put,9.5,10,0.149,0.37,12/12/2022
97,10/16/2022,10/18/2022,Put,94.4,106,0.098,0.23,10/31/2022
98,10/18/2022,10/20/2022,Put,34.8,37,0.087,0.38,11/20/2022
99,10/04/2022,10/06/2022,Put,37.7,26,0.078,0.26,12/21/2022
100,10/25/2022,10/27/2022,Call,21.7,29,0.037,0.39,12/31/2022
